"","last_name","first_name","year","batters_facing","strikeouts","average_spin","percent_strikeout"
"1","Perez"," Oliver",2020,72,14,2152,19.4444444444444
"2","Wainwright"," Adam",2020,262,54,2218,20.6106870229008
"3","Greinke"," Zack",2020,273,67,2329,24.5421245421245
"4","Petit"," Yusmeiro",2020,88,17,2134,19.3181818181818
"5","Sanchez"," Anibal",2020,245,43,2148,17.5510204081633
"6","Rondon"," Hector",2020,97,23,2045,23.7113402061856
"7","Kintzler"," Brandon",2020,101,14,1903,13.8613861386139
"8","Jansen"," Kenley",2020,102,33,NA,32.3529411764706
"9","Chavez"," Jesse",2020,77,13,2180,16.8831168831169
"10","Detwiler"," Ross",2020,81,15,2303,18.5185185185185
"11","Hill"," Rich",2020,156,31,2393,19.8717948717949
"12","Guerra"," Junior",2020,103,21,2495,20.3883495145631
"13","Morton"," Charlie",2020,170,42,2349,24.7058823529412
"14","Lester"," Jon",2020,265,42,2217,15.8490566037736
"15","Hughes"," Jared",2020,109,21,2136,19.2660550458716
"16","Kennedy"," Ian",2020,69,15,2466,21.7391304347826
"17","Miller"," Andrew",2020,55,16,2124,29.0909090909091
"18","Watson"," Tony",2020,73,15,2344,20.5479452054795
"19","Bard"," Daniel",2020,106,27,2712,25.4716981132075
"20","LeBlanc"," Wade",2020,103,13,1968,12.621359223301
"21","Parker"," Blake",2020,69,25,1999,36.231884057971
"22","Scherzer"," Max",2020,295,92,2472,31.1864406779661
"23","Melancon"," Mark",2020,95,14,2325,14.7368421052632
"24","Arrieta"," Jake",2020,190,32,2249,16.8421052631579
"25","Martin"," Chris",2020,66,20,2186,30.3030303030303
"26","Cueto"," Johnny",2020,277,56,2222,20.2166064981949
"27","Guerra"," Javy",2020,70,13,2202,18.5714285714286
"28","Happ"," J.A.",2020,196,42,2371,21.4285714285714
"29","Lindblom"," Josh",2020,191,52,2551,27.2251308900524
"30","Wilson"," Justin",2020,86,23,2281,26.7441860465116
"31","Lynn"," Lance",2020,344,89,2492,25.8720930232558
"32","Tomlin"," Josh",2020,163,36,2294,22.0858895705521
"33","McGee"," Jake",2020,79,33,2273,41.7721518987342
"34","Clippard"," Tyler",2020,98,26,2364,26.530612244898
"35","Gonzalez"," Gio",2020,153,34,2206,22.2222222222222
"36","Soria"," Joakim",2020,96,24,2281,25
"37","Nova"," Ivan",2020,88,9,2277,10.2272727272727
"38","Carrasco"," Carlos",2020,280,82,2470,29.2857142857143
"39","Anderson"," Brett",2020,202,32,2139,15.8415841584158
"40","Phelps"," David",2020,85,31,2397,36.4705882352941
