last_name, first_name,player_id,year,p_total_pa,p_strikeout,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,
Perez, Oliver,424144,2020,72,14,89.5,2152,11.6,-18.6,76.1,2193,-9.8,-48.4,
Wainwright, Adam,425794,2020,262,54,89.2,2218,-2.3,-19.5,73.5,2791,16.8,-65.5,
Greinke, Zack,425844,2020,273,67,88.1,2329,-1.2,-17.8,77.7,2425,8.5,-49.1,
Petit, Yusmeiro,433589,2020,88,17,88.1,2134,-4.9,-17.3,74.3,2000,13,-50.4,
Sanchez, Anibal,434671,2020,245,43,89.2,2148,-5.3,-17.5,76.3,2027,4,-48.6,
Rondon, Hector,444468,2020,97,23,95.7,2045,-8.1,-14.8,85.4,2290,5.7,-37.7,
Kintzler, Brandon,445213,2020,101,14,92,1903,-9.4,-19.8,84.6,2322,1.1,-35.7,
Jansen, Kenley,445276,2020,102,33,,,,,81.6,2334,6.9,-45.4,
Chavez, Jesse,445926,2020,77,13,91,2180,-12,-20.8,83.3,2268,5.3,-37.9,
Detwiler, Ross,446321,2020,81,15,91.9,2303,11.1,-16.2,82.7,2185,-1.5,-40.7,
Hill, Rich,448179,2020,156,31,87.8,2393,9.7,-16.7,72.6,2842,-19.3,-64.8,
Guerra, Junior,448855,2020,103,21,93.9,2495,-4.8,-12.8,81.8,2720,5.6,-50.2,
Morton, Charlie,450203,2020,170,42,93.4,2349,-10.3,-17,78.2,2887,17.9,-54.1,
Lester, Jon,452657,2020,265,42,89.4,2217,7.4,-18.6,73.4,2569,-10.6,-55.6,
Hughes, Jared,453172,2020,109,21,92.2,2136,-9,-22.7,80.8,2050,13.4,-37.8,
Kennedy, Ian,453178,2020,69,15,93.6,2466,-10,-15.3,80.5,2568,9.2,-54.1,
Miller, Andrew,453192,2020,55,16,89.6,2124,5.4,-20.4,80.1,2605,-12.7,-42.7,
Watson, Tony,453265,2020,73,15,89.9,2344,11.1,-24.6,81.2,2302,-2.9,-39.4,
Bard, Daniel,453268,2020,106,27,97.1,2712,-8.2,-17.6,87.6,2815,6.2,-34,
LeBlanc, Wade,453281,2020,103,13,86.8,1968,8.9,-20.7,72.9,2269,-13.2,-57.1,
Parker, Blake,453284,2020,69,25,90.6,1999,-2.9,-16.3,76.1,2159,5.3,-58.4,
Scherzer, Max,453286,2020,295,92,94.7,2472,-10.5,-15,82.8,2512,7.4,-41.4,
Melancon, Mark,453343,2020,95,14,91.6,2325,-5.8,-20.2,81.8,2647,3.8,-55.8,
Arrieta, Jake,453562,2020,190,32,91.9,2249,-6.7,-18.5,87.1,2310,5.7,-33.2,
Martin, Chris,455119,2020,66,20,93.6,2186,-4.9,-17.2,82.6,2543,14.5,-44.4,
Cueto, Johnny,456501,2020,277,56,91.4,2222,-10.5,-17.9,82.1,2301,2.5,-37.8,
Guerra, Javy,457915,2020,70,13,91.8,2202,-2.9,-12.6,83.5,2309,5.3,-37.6,
Happ, J.A.,457918,2020,196,42,91.6,2371,7.8,-15.1,84,2256,-2.7,-34.2,
Lindblom, Josh,458676,2020,191,52,90.1,2551,-5.1,-16.7,74.1,2509,16.2,-55,
